,الجنسية,المحافظة,المدينة,المنطقة,النوع,السكان
24454,غير سعودي,بارق,المراره,عسير,ذكر,11
24455,سعودي,خميس  مشيط,المراره,عسير,ذكر,39
24456,سعودي,محايل,المرازه,عسير,أنثى,53
24457,سعودي,محايل,المرازه,عسير,ذكر,54
24458,سعودي,بالقرن,المراشده وال محمود,عسير,أنثى,16
24459,سعودي,بالقرن,المراشده وال محمود,عسير,ذكر,14
24460,سعودي,الطائف,المراشده والصواوين,مكة المكرمة,أنثى,3
24461,سعودي,الطائف,المراعين,مكة المكرمة,أنثى,56
24462,سعودي,الطائف,المراعين,مكة المكرمة,ذكر,44
24463,غير سعودي,الطائف,المراعين,مكة المكرمة,ذكر,8
24464,سعودي,ابها (مقر الإمارة),المراغه,عسير,أنثى,391
24465,غير سعودي,ابها (مقر الإمارة),المراغه,عسير,أنثى,41
24466,سعودي,الليث,المراغه,مكة المكرمة,أنثى,118
24467,سعودي,ابها (مقر الإمارة),المراغه,عسير,ذكر,365
24468,غير سعودي,ابها (مقر الإمارة),المراغه,عسير,ذكر,200
24469,سعودي,الليث,المراغه,مكة المكرمة,ذكر,115
24470,غير سعودي,الليث,المراغه,مكة المكرمة,ذكر,8
24471,سعودي,المدينة المنورة (مقر الامارة),المراقيب,المدينة المنورة,أنثى,98
24472,سعودي,المدينة المنورة (مقر الامارة),المراقيب,المدينة المنورة,ذكر,94
24473,غير سعودي,المدينة المنورة (مقر الامارة),المراقيب,المدينة المنورة,ذكر,12
24474,سعودي,العيص,المراميه,المدينة المنورة,أنثى,912
24475,غير سعودي,العيص,المراميه,المدينة المنورة,أنثى,13
24476,سعودي,العيص,المراميه,المدينة المنورة,ذكر,895
24477,غير سعودي,العيص,المراميه,المدينة المنورة,ذكر,55
24478,سعودي,الحرجة,المراوحه,عسير,أنثى,30
24479,سعودي,الحرجة,المراوحه,عسير,ذكر,38
24480,غير سعودي,الحرجة,المراوحه,عسير,ذكر,7
24481,سعودي,العيدابي,المراوغ,جازان,أنثى,21
24482,سعودي,ابها (مقر الإمارة),المراوغ,عسير,أنثى,59
24483,سعودي,العيدابي,المراوغ,جازان,ذكر,13
24484,سعودي,ابها (مقر الإمارة),المراوغ,عسير,ذكر,70
24485,سعودي,العيدابي,المراوق,جازان,أنثى,9
24486,سعودي,العيدابي,المراوق,جازان,ذكر,10
24487,سعودي,احد المسارحة,المراونه,جازان,أنثى,166
24488,غير سعودي,احد المسارحة,المراونه,جازان,أنثى,6
24489,سعودي,احد المسارحة,المراونه,جازان,ذكر,130
24490,غير سعودي,احد المسارحة,المراونه,جازان,ذكر,19
24491,سعودي,مكة المكرمة (مقر الإمارة),المراوه,مكة المكرمة,أنثى,11
24492,سعودي,مكة المكرمة (مقر الإمارة),المراوه,مكة المكرمة,ذكر,10
24493,غير سعودي,مكة المكرمة (مقر الإمارة),المراوه,مكة المكرمة,ذكر,18
24494,سعودي,هروب,المراوى,جازان,أنثى,17
24495,سعودي,هروب,المراوى,جازان,ذكر,19
24496,سعودي,العيدابي,المراويغ,جازان,أنثى,208
24497,غير سعودي,العيدابي,المراويغ,جازان,أنثى,25
24498,سعودي,العيدابي,المراويغ,جازان,ذكر,198
24499,غير سعودي,العيدابي,المراويغ,جازان,ذكر,52
24500,سعودي,العارضة,المرايا,جازان,أنثى,230
24501,غير سعودي,العارضة,المرايا,جازان,أنثى,102
24502,سعودي,العارضة,المرايا,جازان,ذكر,230
24503,غير سعودي,العارضة,المرايا,جازان,ذكر,120
24504,سعودي,البرك,المربا,عسير,أنثى,21
24505,سعودي,البرك,المربا,عسير,ذكر,19
24506,سعودي,الحجرة,المرباء,الباحة,أنثى,7
24507,سعودي,المخواة,المرباء,الباحة,أنثى,65
24508,سعودي,العرضيات,المرباء,مكة المكرمة,أنثى,80
24509,غير سعودي,العرضيات,المرباء,مكة المكرمة,أنثى,3
24510,سعودي,الحجرة,المرباء,الباحة,ذكر,4
24511,سعودي,المخواة,المرباء,الباحة,ذكر,85
24512,سعودي,العرضيات,المرباء,مكة المكرمة,ذكر,66
24513,غير سعودي,العرضيات,المرباء,مكة المكرمة,ذكر,11
24514,سعودي,القنفذة,المرباء,مكة المكرمة,ذكر,3
24515,سعودي,ابو عريش,المرباح,جازان,أنثى,12
24516,سعودي,الدائر,المرباح,جازان,أنثى,14
24517,سعودي,محايل,المرباح,عسير,أنثى,10
24518,سعودي,ابو عريش,المرباح,جازان,ذكر,8
24519,سعودي,الدائر,المرباح,جازان,ذكر,18
24520,سعودي,محايل,المرباح,عسير,ذكر,9
24521,غير سعودي,محايل,المرباح,عسير,ذكر,8
24522,سعودي,بلجرشي,المرباه,الباحة,أنثى,62
24523,سعودي,بلجرشي,المرباه,الباحة,ذكر,52
24524,غير سعودي,بلجرشي,المرباه,الباحة,ذكر,8
24525,سعودي,العارضة,المربة,جازان,أنثى,58
24526,غير سعودي,العارضة,المربة,جازان,أنثى,17
24527,سعودي,العارضة,المربة,جازان,ذكر,66
24528,غير سعودي,العارضة,المربة,جازان,ذكر,22
24529,سعودي,ابها (مقر الإمارة),المربد,عسير,أنثى,11
24530,سعودي,ابها (مقر الإمارة),المربد,عسير,ذكر,15
24531,سعودي,العارضة,المربط,جازان,أنثى,41
24532,غير سعودي,العارضة,المربط,جازان,أنثى,22
24533,سعودي,محايل,المربط,عسير,أنثى,31
24534,سعودي,العارضة,المربط,جازان,ذكر,54
24535,غير سعودي,العارضة,المربط,جازان,ذكر,32
24536,سعودي,محايل,المربط,عسير,ذكر,38
24537,غير سعودي,محايل,المربط,عسير,ذكر,4
24538,سعودي,الرين,المربع,الرياض,أنثى,12
24539,سعودي,المذنب,المربع,القصيم,أنثى,70
24540,غير سعودي,المذنب,المربع,القصيم,أنثى,4
24541,سعودي,العيص,المربع,المدينة المنورة,أنثى,580
24542,غير سعودي,العيص,المربع,المدينة المنورة,أنثى,7
24543,سعودي,بارق,المربع,عسير,أنثى,333
24544,غير سعودي,بارق,المربع,عسير,أنثى,10
24545,سعودي,العرضيات,المربع,مكة المكرمة,أنثى,7
24546,سعودي,مكة المكرمة (مقر الإمارة),المربع,مكة المكرمة,أنثى,349
24547,غير سعودي,مكة المكرمة (مقر الإمارة),المربع,مكة المكرمة,أنثى,6
24548,سعودي,الرين,المربع,الرياض,ذكر,20
24549,سعودي,المذنب,المربع,القصيم,ذكر,52
24550,غير سعودي,المذنب,المربع,القصيم,ذكر,22
24551,سعودي,العيص,المربع,المدينة المنورة,ذكر,499
24552,غير سعودي,العيص,المربع,المدينة المنورة,ذكر,36
24553,سعودي,بارق,المربع,عسير,ذكر,300
24554,غير سعودي,بارق,المربع,عسير,ذكر,38
24555,سعودي,العرضيات,المربع,مكة المكرمة,ذكر,6
24556,سعودي,مكة المكرمة (مقر الإمارة),المربع,مكة المكرمة,ذكر,355
24557,غير سعودي,مكة المكرمة (مقر الإمارة),المربع,مكة المكرمة,ذكر,8
24558,سعودي,احد رفيدة,المربع ال لوط,عسير,أنثى,41
24559,غير سعودي,احد رفيدة,المربع ال لوط,عسير,أنثى,9
24560,سعودي,احد رفيدة,المربع ال لوط,عسير,ذكر,37
24561,غير سعودي,احد رفيدة,المربع ال لوط,عسير,ذكر,12
24562,سعودي,العرضيات,المربعه,مكة المكرمة,أنثى,114
24563,سعودي,النماص,المربعه,عسير,ذكر,4
24564,سعودي,العرضيات,المربعه,مكة المكرمة,ذكر,121
24565,غير سعودي,العرضيات,المربعه,مكة المكرمة,ذكر,29
24566,سعودي,محايل,المربوظه,عسير,أنثى,10
24567,سعودي,محايل,المربوظه,عسير,ذكر,12
24568,سعودي,المهد,المربوكه,المدينة المنورة,أنثى,142
24569,سعودي,المهد,المربوكه,المدينة المنورة,ذكر,121
24570,غير سعودي,المهد,المربوكه,المدينة المنورة,ذكر,5
24571,سعودي,الحجرة,المربى,الباحة,أنثى,6
24572,سعودي,الحجرة,المربى,الباحة,ذكر,5
24573,سعودي,القنفذة,المربيي,مكة المكرمة,أنثى,60
24574,سعودي,القنفذة,المربيي,مكة المكرمة,ذكر,55
24575,غير سعودي,القنفذة,المربيي,مكة المكرمة,ذكر,3
24576,غير سعودي,ابها (مقر الإمارة),المرة,عسير,ذكر,9
24577,سعودي,ابها (مقر الإمارة),المرتب,عسير,أنثى,81
24578,سعودي,ابها (مقر الإمارة),المرتب,عسير,ذكر,80
24579,سعودي,المخواة,المرتباء,الباحة,أنثى,11
24580,سعودي,المخواة,المرتباء,الباحة,ذكر,13
24581,سعودي,رابغ,المرتج,مكة المكرمة,أنثى,64
24582,سعودي,رابغ,المرتج,مكة المكرمة,ذكر,50
24583,غير سعودي,رابغ,المرتج,مكة المكرمة,ذكر,9
24584,سعودي,العيدابي,المرتجم,جازان,أنثى,56
24585,سعودي,بدر الجنوب,المرتجم,نجران,أنثى,49
24586,سعودي,العيدابي,المرتجم,جازان,ذكر,55
24587,غير سعودي,العيدابي,المرتجم,جازان,ذكر,16
24588,سعودي,بدر الجنوب,المرتجم,نجران,ذكر,51
24589,غير سعودي,بدر الجنوب,المرتجم,نجران,ذكر,5
24590,سعودي,بدر,المرتجه,المدينة المنورة,أنثى,7
24591,سعودي,بدر,المرتجه,المدينة المنورة,ذكر,5
24592,سعودي,هروب,المرتزح,جازان,أنثى,8
24593,سعودي,هروب,المرتزح,جازان,ذكر,7
24594,غير سعودي,هروب,المرتزح,جازان,ذكر,4
24595,سعودي,العارضة,المرتزه,جازان,أنثى,51
24596,غير سعودي,العارضة,المرتزه,جازان,أنثى,23
24597,سعودي,العارضة,المرتزه,جازان,ذكر,57
24598,غير سعودي,العارضة,المرتزه,جازان,ذكر,23
24599,سعودي,بالقرن,المرتفع (ال مجمل),عسير,أنثى,110
24600,غير سعودي,بالقرن,المرتفع (ال مجمل),عسير,أنثى,7
24601,سعودي,بالقرن,المرتفع (ال مجمل),عسير,ذكر,104
24602,غير سعودي,بالقرن,المرتفع (ال مجمل),عسير,ذكر,14
24603,سعودي,بارق,المرتمض,عسير,أنثى,23
24604,سعودي,بارق,المرتمض,عسير,ذكر,21
24605,سعودي,العرضيات,المرجبات,مكة المكرمة,أنثى,63
24606,سعودي,العرضيات,المرجبات,مكة المكرمة,ذكر,67
24607,غير سعودي,العرضيات,المرجبات,مكة المكرمة,ذكر,11
24608,سعودي,الدائر,المرجلة,جازان,أنثى,23
24609,سعودي,الدائر,المرجلة,جازان,ذكر,28
24610,غير سعودي,الدائر,المرجلة,جازان,ذكر,6
24611,سعودي,العيدابي,المرح,جازان,أنثى,25
24612,غير سعودي,العيدابي,المرح,جازان,أنثى,5
24613,سعودي,العيدابي,المرح,جازان,ذكر,24
24614,سعودي,احد المسارحة,المرخ,جازان,أنثى,146
24615,غير سعودي,احد المسارحة,المرخ,جازان,أنثى,5
24616,سعودي,بدر الجنوب,المرخ,نجران,أنثى,32
24617,غير سعودي,بدر الجنوب,المرخ,نجران,أنثى,3
24618,سعودي,احد المسارحة,المرخ,جازان,ذكر,153
24619,غير سعودي,احد المسارحة,المرخ,جازان,ذكر,29
24620,سعودي,بدر الجنوب,المرخ,نجران,ذكر,20
24621,غير سعودي,بدر الجنوب,المرخ,نجران,ذكر,6
24622,سعودي,بارق,المرخه,عسير,أنثى,3
24623,سعودي,بحرة,المرخه,مكة المكرمة,أنثى,86
24624,سعودي,بارق,المرخه,عسير,ذكر,4
24625,سعودي,الطائف,المرخه,مكة المكرمة,ذكر,3
24626,غير سعودي,الطائف,المرخه,مكة المكرمة,ذكر,4
24627,سعودي,بحرة,المرخه,مكة المكرمة,ذكر,68
24628,سعودي,رابغ,المرخه (الوزان),مكة المكرمة,أنثى,81
24629,سعودي,رابغ,المرخه (الوزان),مكة المكرمة,ذكر,85
24630,غير سعودي,رابغ,المرخه (الوزان),مكة المكرمة,ذكر,6
24631,سعودي,الحجرة,المرخه السفلى,الباحة,أنثى,12
24632,سعودي,الحجرة,المرخه السفلى,الباحة,ذكر,13
24633,سعودي,الحجرة,المرخه العليا,الباحة,أنثى,6
24634,سعودي,الليث,المرخه والشرطه,مكة المكرمة,أنثى,44
24635,سعودي,الليث,المرخه والشرطه,مكة المكرمة,ذكر,36
24636,سعودي,ابها (مقر الإمارة),المرداء,عسير,أنثى,10
24637,سعودي,بارق,المرداء,عسير,أنثى,18
24638,سعودي,ابها (مقر الإمارة),المرداء,عسير,ذكر,13
24639,سعودي,بارق,المرداء,عسير,ذكر,20
24640,سعودي,وادي الفرع,المرداسية,المدينة المنورة,أنثى,96
24641,سعودي,وادي الفرع,المرداسية,المدينة المنورة,ذكر,80
24642,سعودي,عفيف,المردمه,الرياض,أنثى,87
24643,سعودي,عفيف,المردمه,الرياض,ذكر,86
24644,غير سعودي,عفيف,المردمه,الرياض,ذكر,3
24645,سعودي,ابو عريش,المردوم,جازان,أنثى,39
24646,سعودي,ابو عريش,المردوم,جازان,ذكر,40
24647,سعودي,الليث,المرزز,مكة المكرمة,أنثى,167
24648,سعودي,الليث,المرزز,مكة المكرمة,ذكر,152
24649,سعودي,الليث,المرزوز,مكة المكرمة,أنثى,1258
24650,غير سعودي,الليث,المرزوز,مكة المكرمة,أنثى,49
24651,سعودي,الليث,المرزوز,مكة المكرمة,ذكر,1191
24652,غير سعودي,الليث,المرزوز,مكة المكرمة,ذكر,697
24653,سعودي,الدوادمي,المرزوقيه,الرياض,أنثى,34
24654,سعودي,الدوادمي,المرزوقيه,الرياض,ذكر,41
24655,سعودي,البرك,المرسال,عسير,أنثى,5
24656,سعودي,بارق,المرسال,عسير,أنثى,23
24657,سعودي,البرك,المرسال,عسير,ذكر,3
24658,سعودي,بارق,المرسال,عسير,ذكر,11
24659,سعودي,الجموم,المرشديه,مكة المكرمة,أنثى,257
24660,غير سعودي,الجموم,المرشديه,مكة المكرمة,أنثى,10
24661,سعودي,الجموم,المرشديه,مكة المكرمة,ذكر,209
24662,غير سعودي,الجموم,المرشديه,مكة المكرمة,ذكر,56
24663,سعودي,قلوة,المرصاد,الباحة,أنثى,13
24664,سعودي,قلوة,المرصاد,الباحة,ذكر,21
24665,سعودي,المجاردة,المرصد ( منزل الاحد الاعلى),عسير,أنثى,4
24666,سعودي,فيفا,المرصده,جازان,أنثى,39
24667,سعودي,فيفا,المرصده,جازان,ذكر,29
24668,غير سعودي,فيفا,المرصده,جازان,ذكر,10
24669,سعودي,البرك,المرصوفه,عسير,أنثى,121
24670,سعودي,البرك,المرصوفه,عسير,ذكر,128
24671,غير سعودي,البرك,المرصوفه,عسير,ذكر,6
24672,سعودي,وادي الفرع,المرغه (الثانيه),المدينة المنورة,أنثى,74
24673,سعودي,وادي الفرع,المرغه (الثانيه),المدينة المنورة,ذكر,67
24674,سعودي,وادي الفرع,المرغه الأولى,المدينة المنورة,أنثى,144
24675,سعودي,وادي الفرع,المرغه الأولى,المدينة المنورة,ذكر,156
24676,غير سعودي,وادي الفرع,المرغه الأولى,المدينة المنورة,ذكر,7
24677,سعودي,محايل,المرفد,عسير,أنثى,24
24678,سعودي,محايل,المرفد,عسير,ذكر,22
24679,سعودي,ابها (مقر الإمارة),المرفق,عسير,أنثى,33
24680,سعودي,ابها (مقر الإمارة),المرفق,عسير,ذكر,29
24681,غير سعودي,ابها (مقر الإمارة),المرفق,عسير,ذكر,6
24682,سعودي,المهد,المرقاب,المدينة المنورة,أنثى,23
24683,سعودي,المهد,المرقاب,المدينة المنورة,ذكر,23
24684,سعودي,الطائف,المرقب,مكة المكرمة,أنثى,46
24685,سعودي,الطائف,المرقب,مكة المكرمة,ذكر,36
24686,غير سعودي,الطائف,المرقب,مكة المكرمة,ذكر,9
24687,سعودي,الموية,المرقب والسليم,مكة المكرمة,أنثى,195
24688,غير سعودي,الموية,المرقب والسليم,مكة المكرمة,أنثى,5
24689,سعودي,الموية,المرقب والسليم,مكة المكرمة,ذكر,177
24690,غير سعودي,الموية,المرقب والسليم,مكة المكرمة,ذكر,62
24691,سعودي,أضم,المرقبان,مكة المكرمة,أنثى,6
24692,سعودي,أضم,المرقبان,مكة المكرمة,ذكر,7
24693,غير سعودي,أضم,المرقبان,مكة المكرمة,ذكر,3
24694,سعودي,الطائف,المرقبه,مكة المكرمة,أنثى,123
24695,غير سعودي,الطائف,المرقبه,مكة المكرمة,أنثى,21
24696,سعودي,خليص,المرقبه,مكة المكرمة,أنثى,30
24697,غير سعودي,خليص,المرقبه,مكة المكرمة,أنثى,4
24698,سعودي,الطائف,المرقبه,مكة المكرمة,ذكر,139
24699,غير سعودي,الطائف,المرقبه,مكة المكرمة,ذكر,42
24700,سعودي,خليص,المرقبه,مكة المكرمة,ذكر,23
24701,غير سعودي,خليص,المرقبه,مكة المكرمة,ذكر,3
24702,سعودي,الدوادمي,المرقبيه,الرياض,أنثى,24
24703,سعودي,الدوادمي,المرقبيه,الرياض,ذكر,28
24704,غير سعودي,الدوادمي,المرقبيه,الرياض,ذكر,15
24705,سعودي,القويعية,المرقبيه,الرياض,ذكر,7
24706,سعودي,العارضة,المركاب,جازان,أنثى,4
24707,سعودي,العارضة,المركاب,جازان,ذكر,9
24708,سعودي,تنومة,المركبه,عسير,أنثى,29
24709,غير سعودي,تنومة,المركبه,عسير,أنثى,3
24710,سعودي,تنومة,المركبه,عسير,ذكر,30
24711,غير سعودي,تنومة,المركبه,عسير,ذكر,10
24712,سعودي,الاحساء,المركز,المنطقة الشرقية,أنثى,3895
24713,غير سعودي,الاحساء,المركز,المنطقة الشرقية,أنثى,53
24714,سعودي,الاحساء,المركز,المنطقة الشرقية,ذكر,3762
24715,غير سعودي,الاحساء,المركز,المنطقة الشرقية,ذكر,682
24716,سعودي,الخبر,المركز السعودي لجسر الملك فهد,المنطقة الشرقية,أنثى,45
24717,غير سعودي,الخبر,المركز السعودي لجسر الملك فهد,المنطقة الشرقية,أنثى,7
24718,سعودي,الخبر,المركز السعودي لجسر الملك فهد,المنطقة الشرقية,ذكر,47
24719,غير سعودي,الخبر,المركز السعودي لجسر الملك فهد,المنطقة الشرقية,ذكر,8
24720,سعودي,الحائط,المركوز,حائل,أنثى,99
24721,غير سعودي,الحائط,المركوز,حائل,أنثى,3
24722,سعودي,الحائط,المركوز,حائل,ذكر,95
24723,غير سعودي,الحائط,المركوز,حائل,ذكر,18
24724,سعودي,العويقيلة,المركوز ويشمل,الحدود الشمالية,أنثى,598
24725,غير سعودي,العويقيلة,المركوز ويشمل,الحدود الشمالية,أنثى,57
24726,سعودي,العويقيلة,المركوز ويشمل,الحدود الشمالية,ذكر,607
24727,غير سعودي,العويقيلة,المركوز ويشمل,الحدود الشمالية,ذكر,133
24728,سعودي,فيفا,المرما وماحولها,جازان,أنثى,20
24729,سعودي,فيفا,المرما وماحولها,جازان,ذكر,22
24730,سعودي,احد المسارحة,المرماد,جازان,أنثى,45
24731,سعودي,العيدابي,المرماد,جازان,أنثى,37
24732,سعودي,احد المسارحة,المرماد,جازان,ذكر,31
24733,سعودي,العيدابي,المرماد,جازان,ذكر,42
24734,غير سعودي,العيدابي,المرماد,جازان,ذكر,7
24735,سعودي,الحرث,المرماد الدلاكه,جازان,أنثى,46
24736,سعودي,الحرث,المرماد الدلاكه,جازان,ذكر,44
24737,غير سعودي,الحرث,المرماد الدلاكه,جازان,ذكر,8
24738,سعودي,ابها (مقر الإمارة),المرمده,عسير,أنثى,12
24739,سعودي,ابها (مقر الإمارة),المرمده,عسير,ذكر,12
24740,غير سعودي,ابها (مقر الإمارة),المرمده,عسير,ذكر,3
24741,سعودي,الحائط,المرموثة,حائل,أنثى,64
24742,سعودي,الحائط,المرموثة,حائل,ذكر,43
24743,غير سعودي,الحائط,المرموثة,حائل,ذكر,4
24744,سعودي,النبهانية,المرموثه,القصيم,أنثى,269
24745,سعودي,الحناكية,المرموثه,المدينة المنورة,أنثى,356
24746,غير سعودي,الحناكية,المرموثه,المدينة المنورة,أنثى,9
24747,سعودي,النبهانية,المرموثه,القصيم,ذكر,300
24748,غير سعودي,النبهانية,المرموثه,القصيم,ذكر,24
24749,سعودي,الحناكية,المرموثه,المدينة المنورة,ذكر,354
24750,غير سعودي,الحناكية,المرموثه,المدينة المنورة,ذكر,11
24751,سعودي,النبهانية,المرموثه الشماليه,القصيم,أنثى,78
24752,سعودي,النبهانية,المرموثه الشماليه,القصيم,ذكر,69
24753,سعودي,العلا,المرمى,المدينة المنورة,أنثى,4
24754,سعودي,المدينة المنورة (مقر الامارة),المرمى,المدينة المنورة,أنثى,79
24755,غير سعودي,المدينة المنورة (مقر الامارة),المرمى,المدينة المنورة,أنثى,3
24756,سعودي,موقق,المرمى,حائل,أنثى,26
24757,سعودي,العلا,المرمى,المدينة المنورة,ذكر,3
24758,غير سعودي,العلا,المرمى,المدينة المنورة,ذكر,8
24759,سعودي,المدينة المنورة (مقر الامارة),المرمى,المدينة المنورة,ذكر,72
24760,غير سعودي,المدينة المنورة (مقر الامارة),المرمى,المدينة المنورة,ذكر,6
24761,سعودي,موقق,المرمى,حائل,ذكر,29
24762,غير سعودي,موقق,المرمى,حائل,ذكر,3
24763,سعودي,العيدابي,المرمى الطلعه,جازان,أنثى,5
24764,غير سعودي,العيدابي,المرمى الطلعه,جازان,أنثى,9
24765,سعودي,العيدابي,المرمى الطلعه,جازان,ذكر,10
24766,غير سعودي,العيدابي,المرمى الطلعه,جازان,ذكر,63
24767,سعودي,البرك,المره,عسير,أنثى,180
24768,غير سعودي,البرك,المره,عسير,أنثى,3
24769,سعودي,الجموم,المره,مكة المكرمة,أنثى,3
24770,سعودي,البرك,المره,عسير,ذكر,194
24771,غير سعودي,البرك,المره,عسير,ذكر,23
24772,سعودي,الجموم,المره,مكة المكرمة,ذكر,7
24773,سعودي,محايل,المرو,عسير,أنثى,3
24774,سعودي,بارق,المروات,عسير,أنثى,86
24775,سعودي,بارق,المروات,عسير,ذكر,81
24776,غير سعودي,بارق,المروات,عسير,ذكر,3
24777,سعودي,رجال المع,المرواح,عسير,أنثى,8
24778,سعودي,رجال المع,المرواح,عسير,ذكر,10
24779,غير سعودي,رجال المع,المرواح,عسير,ذكر,9
24780,سعودي,احد المسارحة,المرواغ,جازان,أنثى,31
24781,سعودي,احد المسارحة,المرواغ,جازان,ذكر,24
24782,سعودي,فيفا,المرواق,جازان,أنثى,14
24783,سعودي,فيفا,المرواق,جازان,ذكر,15
24784,سعودي,العرضيات,المروان,مكة المكرمة,أنثى,19
24785,سعودي,العرضيات,المروان,مكة المكرمة,ذكر,27
24786,سعودي,العارضة,المرواية,جازان,أنثى,27
24787,سعودي,العارضة,المرواية,جازان,ذكر,31
24788,غير سعودي,العارضة,المرواية,جازان,ذكر,3
24789,غير سعودي,العارضة,المروة,جازان,أنثى,7
24790,سعودي,محايل,المروة,عسير,أنثى,177
24791,غير سعودي,محايل,المروة,عسير,أنثى,3
24792,سعودي,القنفذة,المروة,مكة المكرمة,أنثى,63
24793,غير سعودي,العارضة,المروة,جازان,ذكر,10
24794,سعودي,محايل,المروة,عسير,ذكر,182
24795,غير سعودي,محايل,المروة,عسير,ذكر,20
24796,سعودي,القنفذة,المروة,مكة المكرمة,ذكر,69
24797,غير سعودي,القنفذة,المروة,مكة المكرمة,ذكر,6
24798,سعودي,دومة الجندل,المروت,الجوف,أنثى,97
24799,سعودي,دومة الجندل,المروت,الجوف,ذكر,83
24800,غير سعودي,دومة الجندل,المروت,الجوف,ذكر,100
24801,سعودي,احد المسارحة,المروحيه المصروحيه,جازان,أنثى,90
24802,غير سعودي,احد المسارحة,المروحيه المصروحيه,جازان,أنثى,27
24803,سعودي,احد المسارحة,المروحيه المصروحيه,جازان,ذكر,93
24804,غير سعودي,احد المسارحة,المروحيه المصروحيه,جازان,ذكر,39
24805,سعودي,المخواة,المروه,الباحة,أنثى,32
24806,سعودي,الحناكية,المروه,المدينة المنورة,أنثى,142
24807,سعودي,الحرث,المروه,جازان,أنثى,56
24808,سعودي,العارضة,المروه,جازان,أنثى,51
24809,غير سعودي,العارضة,المروه,جازان,أنثى,12
24810,سعودي,صبياء,المروه,جازان,أنثى,65
24811,غير سعودي,صبياء,المروه,جازان,أنثى,7
24812,سعودي,فيفا,المروه,جازان,أنثى,22
24813,سعودي,هروب,المروه,جازان,أنثى,121
24814,غير سعودي,هروب,المروه,جازان,أنثى,126
24815,سعودي,المجاردة,المروه,عسير,أنثى,18
24816,سعودي,بارق,المروه,عسير,أنثى,203
24817,غير سعودي,بارق,المروه,عسير,أنثى,4
24818,سعودي,بيشة,المروه,عسير,أنثى,595
24819,غير سعودي,بيشة,المروه,عسير,أنثى,24
24820,سعودي,تثليث,المروه,عسير,أنثى,28
24821,سعودي,رجال المع,المروه,عسير,أنثى,161
24822,سعودي,محايل,المروه,عسير,أنثى,334
24823,غير سعودي,محايل,المروه,عسير,أنثى,7
24824,سعودي,الطائف,المروه,مكة المكرمة,أنثى,12
24825,سعودي,العرضيات,المروه,مكة المكرمة,أنثى,150
24826,غير سعودي,العرضيات,المروه,مكة المكرمة,أنثى,4
24827,سعودي,ميسان,المروه,مكة المكرمة,أنثى,22
24828,سعودي,المخواة,المروه,الباحة,ذكر,29
24829,غير سعودي,المخواة,المروه,الباحة,ذكر,4
24830,سعودي,الحناكية,المروه,المدينة المنورة,ذكر,124
24831,غير سعودي,الحناكية,المروه,المدينة المنورة,ذكر,6
24832,سعودي,الحرث,المروه,جازان,ذكر,45
24833,غير سعودي,الحرث,المروه,جازان,ذكر,4
24834,سعودي,العارضة,المروه,جازان,ذكر,65
24835,غير سعودي,العارضة,المروه,جازان,ذكر,33
24836,سعودي,صبياء,المروه,جازان,ذكر,70
24837,غير سعودي,صبياء,المروه,جازان,ذكر,6
24838,سعودي,فيفا,المروه,جازان,ذكر,17
24839,سعودي,هروب,المروه,جازان,ذكر,121
24840,غير سعودي,هروب,المروه,جازان,ذكر,138
24841,سعودي,المجاردة,المروه,عسير,ذكر,11
24842,سعودي,بارق,المروه,عسير,ذكر,231
24843,غير سعودي,بارق,المروه,عسير,ذكر,27
24844,سعودي,بيشة,المروه,عسير,ذكر,567
24845,غير سعودي,بيشة,المروه,عسير,ذكر,134
24846,سعودي,تثليث,المروه,عسير,ذكر,20
24847,سعودي,رجال المع,المروه,عسير,ذكر,135
24848,غير سعودي,رجال المع,المروه,عسير,ذكر,46
24849,سعودي,محايل,المروه,عسير,ذكر,359
24850,غير سعودي,محايل,المروه,عسير,ذكر,21
24851,سعودي,الطائف,المروه,مكة المكرمة,ذكر,10
24852,سعودي,العرضيات,المروه,مكة المكرمة,ذكر,127
24853,غير سعودي,العرضيات,المروه,مكة المكرمة,ذكر,16
24854,سعودي,ميسان,المروه,مكة المكرمة,ذكر,18
24855,غير سعودي,ميسان,المروه,مكة المكرمة,ذكر,11
24856,سعودي,القرى,المروه الجنوبيه,الباحة,أنثى,56
24857,غير سعودي,القرى,المروه الجنوبيه,الباحة,أنثى,4
24858,سعودي,القرى,المروه الجنوبيه,الباحة,ذكر,45
24859,غير سعودي,القرى,المروه الجنوبيه,الباحة,ذكر,15
24860,سعودي,القرى,المروه الشماليه,الباحة,أنثى,41
24861,غير سعودي,القرى,المروه الشماليه,الباحة,أنثى,3
24862,سعودي,القرى,المروه الشماليه,الباحة,ذكر,34
24863,سعودي,أضم,المروه والبراحه,مكة المكرمة,أنثى,12
24864,سعودي,أضم,المروه والبراحه,مكة المكرمة,ذكر,7
24865,سعودي,العيدابي,المروى,جازان,أنثى,26
24866,غير سعودي,العيدابي,المروى,جازان,أنثى,10
24867,سعودي,بارق,المروى,عسير,أنثى,89
24868,سعودي,العيدابي,المروى,جازان,ذكر,26
24869,غير سعودي,العيدابي,المروى,جازان,ذكر,12
24870,سعودي,بارق,المروى,عسير,ذكر,82
24871,غير سعودي,بارق,المروى,عسير,ذكر,4
24872,سعودي,الحرث,المروي,جازان,أنثى,24
